DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2015,7,2__2_1__1_1__3,receive,6122040,13:51.7,D_SSM
R12_04_LTN,2014,9,2__2_1__1_1__1,receive,6120726.98,07:55.5,D_DNS
R12_04_LTN,2016,10,2__2_1__1_3__2_,receive,6094896.38,59:46.8,D_MMA
R12_04_LTN,2013,5,1__1_3__3_6__3_5_,receive,6078995,21:17.5,D_DNS
R12_04_LTN,2016,11,2__2_1__1_1__1,receive,6070061.4,59:41.9,D_MMA
R12_04_LTN,2014,6,1__1_3__3_6__3_5_,receive,6046172,15:51.9,D_DNS
R12_04_LTN,2014,9,2__2_1__1_3,receive,6036469.16,07:55.5,D_DNS
R12_04_LTN,2015,2,2__2_1__1_4,receive,6021951,08:47.9,D_DNS
R12_04_LTN,2015,6,1__1_8__8_1,receive,5998205,11:07.3,D_SSM
R12_04_LTN,2014,8,1__1_3__3_6__3_3_3,receive,5966571,25:22.8,D_DNS
R12_04_LTN,2016,7,1__1_3__3_6__3_3_3,receive,5902178,54:56.4,D_MMA
R12_04_LTN,2015,4,1__1_8__8_1,receive,5868015,46:47.4,D_SSM
R12_04_LTN,2017,5,1__1_3__3_6__3_5_,receive,5868000,37:44.9,D_MMA
R12_04_LTN,2015,8,2__2_1__1_1__1,receive,5858929.34,18:09.1,D_SSM
R12_04_LTN,2013,7,2__2_1__1_1__1,receive,5857723.05,27:57.6,D_DNS
R12_04_LTN,2014,4,2__2_1__1_1__7_,receive,5845000,15:12.3,D_DNS
R12_04_LTN,2015,4,2__2_1__1_1__7_,receive,5820000,46:47.4,D_SSM
R12_04_LTN,2014,10,2__2_1__1_1__6,receive,5800000,26:19.7,D_DNS
R12_04_LTN,2014,11,2__2_1__1_3,receive,5791537.51,26:18.1,D_DNS
R12_04_LTN,2014,11,2__2_1__1_3__2_,receive,5791537.51,26:18.1,D_DNS
R12_04_LTN,2017,2,1__1_3__3_6__3_16_,receive,5754450,04:47.0,D_MMA
R12_04_LTN,2014,12,2__2_1__1_1__3,receive,5736160,01:22.6,D_DNS
R12_04_LTN,2013,11,2__2_1__1_1__3,receive,5722867,38:07.6,D_DNS
R12_04_LTN,2016,7,2__2_1__1_1__1,receive,5684541.6,54:56.4,D_MMA
R12_04_LTN,2016,11,2__2_1__1_1__7_,receive,5677080,59:41.9,D_MMA
R12_04_LTN,2016,1,1__1_8__8_1,receive,5647235,27:44.3,D_SSM
R12_04_LTN,2013,4,2__2_1__1_1__3,receive,5621935,21:01.7,D_DNS
R12_04_LTN,2013,5,2__2_1__1_3,receive,5581825,21:17.5,D_DNS
R12_04_LTN,2015,3,2__2_1__1_1__7_,receive,5575000,32:10.3,D_DNS
R12_04_LTN,2017,6,2__2_1__1_1__3,receive,5504760,54:05.4,D_EKTW
R12_04_LTN,2017,3,1__11__1__1_3,receive,5482691,40:54.9,D_MMA
R12_04_LTN,2015,5,1__1_8__8_1,receive,5461305,47:16.0,D_SSM
R12_04_LTN,2016,2,1__1_3__3_6__3_5_,receive,5454629,28:13.5,D_SSM
R12_04_LTN,2016,6,2__2_1__1_1__4,receive,5409953,26:23.7,D_MMA
R12_04_LTN,2015,1,2__2_1__1_4,receive,5403946,38:28.3,D_DNS
R12_04_LTN,2016,11,1__1_3__3_6__4,receive,5273305,59:41.9,D_MMA
R12_04_LTN,2017,2,2__2_1__1_4,receive,5238700,04:47.0,D_MMA
R12_04_LTN,2016,1,1__1_3__3_6__4,receive,5191586,27:44.3,D_SSM
R12_04_LTN,2016,8,2__2_1__1_1__3,receive,5176286,43:35.4,D_MMA
R12_04_LTN,2016,10,1__1_3__3_6__3_1w_,receive,5157215,59:46.8,D_MMA
