DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2016,9,receive,3781000,15:23.9,D_MMA
R12_04_LTN,2014,9,receive,3758566,07:55.5,D_DNS
R12_04_LTN,2016,12,receive,3740544,07:48.5,D_MMA
R12_04_LTN,2013,7,receive,3720000,27:57.6,D_DNS
R12_04_LTN,2017,3,expense,3637000,40:54.9,D_MMA
R12_04_LTN,2017,4,expense,3637000,09:45.8,D_MMA
R12_04_LTN,2017,2,expense,3636571.43,04:47.0,D_MMA
R12_04_LTN,2017,1,expense,3635000,24:56.2,D_MMA
R12_04_LTN,2017,1,receive,3634060,24:56.2,D_MMA
R12_04_LTN,2016,6,expense,3609400,26:23.7,D_MMA
R12_04_LTN,2016,5,expense,3608612.89,24:36.5,D_MMA
R12_04_LTN,2016,2,receive,3608581,28:13.5,D_SSM
R12_04_LTN,2016,7,receive,3580000,54:56.4,D_MMA
R12_04_LTN,2017,6,expense,3562466.66,54:05.4,D_EKTW
R12_04_LTN,2016,1,receive,3552938,27:44.3,D_SSM
R12_04_LTN,2014,9,receive,3540224,07:55.5,D_DNS
R12_04_LTN,2014,12,receive,3512055,01:22.6,D_DNS
R12_04_LTN,2014,1,receive,3479619,14:04.3,D_DNS
R12_04_LTN,2015,5,expense,3479316.67,47:16.0,D_SSM
R12_04_LTN,2016,12,receive,3431382.96,07:48.5,D_MMA
R12_04_LTN,2017,4,receive,3399005,09:45.8,D_MMA
R12_04_LTN,2014,1,receive,3392254,14:04.3,D_DNS
R12_04_LTN,2015,6,receive,3391415,11:07.3,D_SSM
R12_04_LTN,2016,12,receive,3388860,07:48.5,D_MMA
R12_04_LTN,2015,7,receive,3387779,13:51.7,D_SSM
R12_04_LTN,2013,9,receive,3376000,37:22.8,D_DNS
R12_04_LTN,2015,4,expense,3343525.26,46:47.4,D_SSM
R12_04_LTN,2013,12,receive,3335926.8,35:15.5,D_DNS4
R12_04_LTN,2016,1,receive,3318000,27:44.3,D_SSM
R12_04_LTN,2016,11,receive,3301193.5,59:41.9,D_MMA
R12_04_LTN,2015,10,receive,3285000,24:30.7,D_SSM
R12_04_LTN,2016,10,receive,3282415,59:46.8,D_MMA
R12_04_LTN,2013,12,receive,3271005,35:15.5,D_DNS4
R12_04_LTN,2015,12,receive,3265000,27:18.2,D_SSM
R12_04_LTN,2014,11,receive,3246318,26:18.1,D_DNS
R12_04_LTN,2017,6,receive,3238567,54:05.4,D_EKTW
R12_04_LTN,2015,3,receive,3230000,32:10.3,D_DNS
R12_04_LTN,2016,8,receive,3175480,43:35.4,D_MMA
R12_04_LTN,2014,12,receive,3145000,01:22.6,D_DNS
R12_04_LTN,2016,10,receive,3113000,59:46.8,D_MMA
R12_04_LTN,2014,3,receive,3109523,24:56.8,D_DNS
R12_04_LTN,2017,3,receive,3100000,40:54.9,D_MMA
R12_04_LTN,2016,12,receive,3077797,07:48.5,D_MMA
R12_04_LTN,2014,2,receive,3070952,00:40.2,D_YYS
R12_04_LTN,2015,9,receive,3020500,18:41.2,D_SSM
R12_04_LTN,2014,10,receive,3020016,26:19.7,D_DNS
R12_04_LTN,2016,3,receive,3016900,04:04.2,D_SSM
R12_04_LTN,2016,2,receive,3000000,28:13.5,D_SSM
R12_04_LTN,2016,9,receive,3000000,15:23.9,D_MMA
R12_04_LTN,2016,9,receive,2966990,15:23.9,D_MMA
R12_04_LTN,2015,7,receive,2959121.78,13:51.7,D_SSM
